lineId,from,to,distance
3351,504007,604007,0.0
3351,604007,613316,267.6865380781959
3351,613316,513316,0.0
2841,514029,514030,317.86556923169877
2841,514030,514031,364.3509560552822
2841,514031,514032,432.26360247155895
2841,514032,514033,273.04516880083
2841,514033,514037,402.1048700173135
2841,514037,514035,210.70836311150813
2841,514035,514036,283.94483619107217
2841,514036,514549,183.78001505130413
2841,514549,514550,207.15770870631147
2841,514550,514039,410.2962856219416
2841,514039,514171,257.0274202890923
2841,514171,514172,195.91948331549295
2841,514172,514469,220.6154712908959
2841,514469,514190,255.11551979904996
2841,514190,514421,205.44324636281908
2841,514421,514192,270.8121052786468
2841,514192,514193,292.85614813668707
2841,514193,514376,370.19832349536523
2841,514376,514278,336.73315519110645
2841,514278,514432,198.4912127708785
2841,514432,502651,543.7438565186952
2841,502651,502701,553.2125434890645
2841,502701,503012,661.5368826920833
2841,503012,603012,0.0
2841,603012,603007,23.69980483783143
2841,603007,503007,0.0
2841,503007,502700,653.9277432425607
2841,502700,502650,554.6253103360315
2841,502650,514379,591.2667713162353
2841,514379,514415,181.34004562181343
2841,514415,514076,308.5481097359234
2841,514076,514081,196.9256016249464
2841,514081,514083,315.9072316966318
2841,514083,514084,330.596010325567
2841,514084,514186,224.52484945996474
2841,514186,514468,285.85470557838227
2841,514468,514470,177.32506153628225
2841,514470,514273,169.00661693118687
2841,514273,514279,218.15063061727895
2841,514279,514232,222.95327993405192
2841,514232,514233,243.93660788403292
2841,514233,514481,138.97523430660627
2841,514481,514482,233.02836118475085
2841,514482,514235,241.98290454876545
2841,514235,514271,244.69416330363703
2841,514271,514236,127.46790660481031
2841,514236,514041,258.95598752846405
2841,514041,514042,251.07563745988708
2841,514042,514466,404.67473196538504
2841,514466,514044,320.27259773053555
2841,514044,514045,326.9254071211352
2841,514045,514046,231.56598372464063
2841,514046,514047,196.82844094001157
2841,514047,514048,316.58531996139084
2841,514048,514538,112.99336615268781
2841,514538,514049,179.117373385823
2841,514049,514050,311.948176269075
2841,514050,514051,180.14444370918392
2841,514051,514052,259.4577485344889
2841,514052,514053,193.13338303592232
2841,514053,514054,180.7750778900186
2841,514054,514055,298.9721607470872
2841,514055,514056,291.3357852648528
2841,514056,500165,464.6867686649618
2841,500165,514020,402.44999076312536
2841,514020,514021,356.10626403514664
2841,514021,514467,295.9616032829272
2841,514467,514023,180.65758737514102
2841,514023,514024,205.77201280369638
2841,514024,514025,224.11588279540595
2841,514025,514026,244.90567253385862
2841,514026,514027,176.0929012727506
2841,514027,514554,253.713911477979
2841,514554,514028,160.22394668566204
2841,514028,514029,371.2009804944224
2841,514029,514030,317.86556923169877
2841,514030,514031,364.3509560552822
2841,514031,514032,432.26360247155895
2841,514032,514033,273.04516880083
2841,514033,514037,402.1048700173135
2841,514037,514035,210.70836311150813
2841,514035,514036,283.94483619107217
2841,514036,514549,183.78001505130413
2841,514549,514550,207.15770870631147
2841,514550,514039,410.2962856219416
2841,514039,514171,257.0274202890923
2841,514171,514172,195.91948331549295
2841,514172,514469,220.6154712908959
2841,514469,514190,255.11551979904996
2841,514190,514421,205.44324636281908
2841,514421,514192,270.8121052786468
2841,514192,514193,292.85614813668707
2841,514193,514376,370.19832349536523
2841,514376,514278,336.73315519110645
2841,514278,514432,198.4912127708785
2841,514432,502651,543.7438565186952
2841,502651,502701,553.2125434890645
2841,502701,503012,661.5368826920833
2841,503012,514481,3679.96805334082
2841,514481,514482,233.02836118475085
2841,514482,514235,241.98290454876545
2841,514235,514271,244.69416330363703
2841,514271,514236,127.46790660481031
2841,514236,514041,258.95598752846405
2841,514041,514042,251.07563745988708
2841,514042,514466,404.67473196538504
2841,514466,514044,320.27259773053555
2841,514044,514045,326.9254071211352
2841,514045,514046,231.56598372464063
2841,514046,514047,196.82844094001157
2841,514047,514048,316.58531996139084
2841,514048,514538,112.99336615268781
2841,514538,514049,179.117373385823
2841,514049,514050,311.948176269075
2841,514050,514051,180.14444370918392
2841,514051,514052,259.4577485344889
2841,514052,514053,193.13338303592232
2841,514053,514054,180.7750778900186
2841,514054,514055,298.9721607470872
2841,514055,514056,291.3357852648528
2841,514056,500165,464.6867686649618
2841,500165,514379,2778.7710120447973
2841,514379,514415,181.34004562181343
2841,514415,514076,308.5481097359234
2841,514076,514081,196.9256016249464
2841,514081,514083,315.9072316966318
2841,514083,514084,330.596010325567
2841,514084,514186,224.52484945996474
2841,514186,514468,285.85470557838227
2841,514468,514470,177.32506153628225
2841,514470,514273,169.00661693118687
2841,514273,514279,218.15063061727895
2841,514279,514232,222.95327993405192
2841,514232,514233,243.93660788403292
2841,514233,514481,138.97523430660627
2841,514481,514482,233.02836118475085
2841,514482,514235,241.98290454876545
2841,514235,514271,244.69416330363703
2841,514271,514236,127.46790660481031
2841,514236,514041,258.95598752846405
2841,514041,514042,251.07563745988708
2841,514042,514466,404.67473196538504
2841,514466,514044,320.27259773053555
2841,514044,514045,326.9254071211352
2841,514045,514046,231.56598372464063
2841,514046,514047,196.82844094001157
2841,514047,514048,316.58531996139084
2841,514048,514538,112.99336615268781
2841,514538,514049,179.117373385823
